Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 5RS, Y51Q35, Eynsford, On or near Farman Close
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TS, Y51Q35, Dereham-Central, On or near Chapel Walk
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192BB, Y51Q35, Dereham-Central, On or near Nightclub
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191AN, Y51Q35, Dereham-Central, On or near Petrol Station
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191DJ, Y51Q35, Dereham-Central, On or near Shopping Area
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192XD, Y51Q35, Dereham-Central, On or near Matsell Way
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191DJ, Y51Q35, Dereham-Central, On or near Shopping Area
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192DJ, Y51Q35, Dereham-Central, On or near Supermarket
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192DJ, Y51Q35, Dereham-Central, On or near Supermarket
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192SL, Y51Q35, Dereham-Humbletoft, On or near Parking Area
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191DJ, Y51Q35, Dereham-Central, On or near Shopping Area
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191DP, Y51Q35, Dereham-Central, On or near Chapel Mews
Theft from the person: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191AD, Y51Q35, Dereham-Central, On or near Petrol Station
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TA, Y51Q35, Dereham-Central, On or near High Street
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192BW, Y51Q35, Dereham-Central, On or near Red Lion Street
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192DJ, Y51Q35, Dereham-Central, On or near Supermarket
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192DJ, Y51Q35, Dereham-Central, On or near Supermarket
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192BW, Y51Q35, Dereham-Central, On or near Red Lion Street
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192BW, Y51Q35, Dereham-Central, On or near Red Lion Street
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192AN, Y51Q35, Dereham-Central, On or near Norwich Street
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192BW, Y51Q35, Dereham-Central, On or near Red Lion Street
Other crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192AZ, Y51Q35, Dereham-Central, On or near Ruthen Place
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JF, Y51Q35, Dereham-Central, On or near Stephen Beaumont Way
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WJ, Y51Q35, Dereham-Central, On or near Metamec Drive
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near South Green
Bicycle theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WB, Y51Q35, Dereham-Central, On or near Petrol Station
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191BW, Y51Q35, Dereham-Central, On or near Southend
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WQ, Y51Q35, Dereham-Central, On or near Russet Way
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WB, Y51Q35, Dereham-Central, On or near Petrol Station
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WB, Y51Q35, Dereham-Central, On or near Petrol Station
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191HJ, Y51Q35, Dereham-Central, On or near Hurn Road
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191HJ, Y51Q35, Dereham-Central, On or near Hurn Road
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191HJ, Y51Q35, Dereham-Central, On or near Hurn Road
Shoplifting: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191PR, Y51Q35, Dereham-Central, On or near Shopping Area
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WJ, Y51Q35, Dereham-Central, On or near Metamec Drive
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WB, Y51Q35, Dereham-Central, On or near Petrol Station
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near Cabinet Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191EX, Y51Q35, Dereham-Toftwood, On or near Farmway
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191EX, Y51Q35, Dereham-Toftwood, On or near Farmway
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XQ, Y51Q35, Dereham-Toftwood, On or near Luxembourg Way
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UE, Y51Q35, Dereham-Toftwood, On or near Charles Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UJ, Y51Q35, Dereham-Toftwood, On or near Strasbourg Way
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UE, Y51Q35, Dereham-Toftwood, On or near Charles Close
Drugs: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TN, Y51Q35, Dereham-Toftwood, On or near Sports/Recreation Area
Public order: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UE, Y51Q35, Dereham-Toftwood, On or near Charles Close
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XG, Y51Q35, Dereham-Toftwood, On or near Lisbon Road
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XG, Y51Q35, Dereham-Toftwood, On or near Lisbon Road
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JT, Y51Q35, Dereham-Toftwood, On or near Larner'S Drift
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JT, Y51Q35, Dereham-Toftwood, On or near Larner'S Drift
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JS, Y51Q35, Dereham-Toftwood, On or near Stone Road
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XH, Y51Q35, Dereham-Toftwood, On or near Brunswick Close
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XH, Y51Q35, Dereham-Toftwood, On or near Brunswick Close
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HD, Y51Q35, Two Rivers, On or near Parking Area
Public order: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203PU, Y51Q35, Two Rivers, On or near Back Lane
Public order: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203DD, Y51Q35, Two Rivers, On or near Mill Road
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203PF, Y51Q35, Two Rivers, On or near Yaxham Road
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203SR, Y51Q35, Two Rivers, On or near The Beeches
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203AJ, Y51Q35, Two Rivers, On or near Manor Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HU, Y51Q35, Two Rivers, On or near Bishop Herbert Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, South Norfolk District, NR203NF, Y51Q35, Two Rivers, On or near Park/Open Space
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HJ, Y51Q35, Two Rivers, On or near St Michaels Close
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HS, Y51Q35, Two Rivers, On or near Chapel Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HS, Y51Q35, Two Rivers, On or near Chapel Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HS, Y51Q35, Two Rivers, On or near Chapel Lane
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 4QR, Y51Q35, Upper Yare, On or near Town Lane
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 4QH, Y51Q35, Upper Yare, On or near Station Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JQ, Y51Q35, Dereham-Central, On or near Dereham Road
Public order: England, Eastern, Norfolk, Breckland District, Mid Norfolk, IP257SJ, Y51Q35, Upper Yare, On or near Sports/Recreation Area
Public order: England, Eastern, Norfolk, Breckland District, Mid Norfolk, IP257SJ, Y51Q35, Upper Yare, On or near Sports/Recreation Area
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NQ, Y51Q35, Swaffham, On or near Petrol Station
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BY, Y51Q35, Swaffham, On or near Supermarket
Burglary: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LD, Y51Q35, Swaffham, On or near Pit Lane
Burglary: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PS, Y51Q35, Swaffham, On or near Lawrence Way
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near A1065
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NQ, Y51Q35, Swaffham, On or near Police Station
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NT, Y51Q35, Swaffham, On or near Copper Hall
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NT, Y51Q35, Swaffham, On or near Copper Hall
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NQ, Y51Q35, Swaffham, On or near Petrol Station
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NQ, Y51Q35, Swaffham, On or near Petrol Station
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Supermarket
Public order: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BY, Y51Q35, Swaffham, On or near Supermarket
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BY, Y51Q35, Swaffham, On or near Supermarket
Vehicle crime: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BX, Y51Q35, Swaffham, On or near Whitesands Mews
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PS, Y51Q35, Swaffham, On or near Lawrence Way
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PT, Y51Q35, Swaffham, On or near Low Road
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PX, Y51Q35, Swaffham, On or near Lynn Road
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DQ, Y51Q35, Swaffham, On or near The Pightle
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NP, Y51Q35, Swaffham, On or near Parking Area
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NP, Y51Q35, Swaffham, On or near Parking Area
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NP, Y51Q35, Swaffham, On or near Parking Area
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377HF, Y51Q35, Swaffham, On or near London Street
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377HF, Y51Q35, Swaffham, On or near London Street
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PE, Y51Q35, Swaffham, On or near Southlands
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NP, Y51Q35, Swaffham, On or near Parking Area
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PD, Y51Q35, Swaffham, On or near Mill Lane
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377HF, Y51Q35, Swaffham, On or near London Street
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377SD, Y51Q35, Swaffham, On or near Hickling Close
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377SR, Y51Q35, Swaffham, On or near Salhouse Drive
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE378HG, Y51Q35, Swaffham, On or near Sandringham Way
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377EQ, Y51Q35, Swaffham, On or near Nicholas Hamond Way
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DY, Y51Q35, Swaffham, On or near Merryweather Road
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377EW, Y51Q35, Swaffham, On or near Amherst Close
Burglary: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DY, Y51Q35, Swaffham, On or near St Magdalen Way
Burglary: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377XB, Y51Q35, Swaffham, On or near Carter Close
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377EH, Y51Q35, Swaffham, On or near The Oaklands
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377EH, Y51Q35, Swaffham, On or near The Oaklands
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377XB, Y51Q35, Swaffham, On or near Carter Close
