Theft from the person: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Shipley, BD163LS, Y51Q32, Bingley, On or near The Gardens
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191AN, Y51Q35, Dereham-Central, On or near Petrol Station
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191AN, Y51Q35, Dereham-Central, On or near Petrol Station
Other crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR192XD, Y51Q35, Dereham-Central, On or near Matsell Way
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near South Green
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near Jentique Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near Jentique Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WJ, Y51Q35, Dereham-Central, On or near Metamec Drive
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191BB, Y51Q35, Dereham-Central, On or near Fox Road
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191BY, Y51Q35, Dereham-Central, On or near Walnut Way
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191BY, Y51Q35, Dereham-Central, On or near Walnut Way
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191HT, Y51Q35, Dereham-Central, On or near Bertie Ward Way
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191BJ, Y51Q35, Dereham-Central, On or near Copsey Walk
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WJ, Y51Q35, Dereham-Central, On or near Metamec Drive
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WB, Y51Q35, Dereham-Central, On or near Petrol Station
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191SY, Y51Q35, Dereham-Central, On or near Rash'S Green
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near South Green
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TT, Y51Q35, Dereham-Central, On or near South Green
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JL, Y51Q35, Dereham-Toftwood, On or near Sheldrick Place
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191WB, Y51Q35, Dereham-Central, On or near Petrol Station
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191EN, Y51Q35, Dereham-Toftwood, On or near Featherstone Court
Other theft: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XQ, Y51Q35, Dereham-Toftwood, On or near Luxembourg Way
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TX, Y51Q35, Dereham-Toftwood, On or near Roger Ride
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XW, Y51Q35, Dereham-Toftwood, On or near Pond Road
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XQ, Y51Q35, Dereham-Toftwood, On or near Luxembourg Way
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UE, Y51Q35, Dereham-Toftwood, On or near Charles Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UL, Y51Q35, Dereham-Toftwood, On or near Hill Fields
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XG, Y51Q35, Dereham-Toftwood, On or near Lisbon Road
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UR, Y51Q35, Dereham-Toftwood, On or near Brussels Close
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UR, Y51Q35, Dereham-Toftwood, On or near Brussels Close
Public order: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191TN, Y51Q35, Dereham-Toftwood, On or near Parking Area
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191XG, Y51Q35, Dereham-Toftwood, On or near Lisbon Road
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UE, Y51Q35, Dereham-Toftwood, On or near Charles Close
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JT, Y51Q35, Dereham-Toftwood, On or near Larner'S Drift
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191UN, Y51Q35, Dereham-Toftwood, On or near Helsinki Way
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191JS, Y51Q35, Dereham-Toftwood, On or near Stone Road
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191NQ, Y51Q35, Dereham-Toftwood, On or near Margaret Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203PU, Y51Q35, Two Rivers, On or near Parker'S Road
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203DS, Y51Q35, Two Rivers, On or near Elsing Road
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203PU, Y51Q35, Two Rivers, On or near Back Lane
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203PU, Y51Q35, Two Rivers, On or near Back Lane
Other crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203PU, Y51Q35, Two Rivers, On or near Wier Avenue
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203FG, Y51Q35, Two Rivers, On or near Church Plain
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203FG, Y51Q35, Two Rivers, On or near Church Plain
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203NU, Y51Q35, Two Rivers, On or near Moorfield Road
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203NZ, Y51Q35, Two Rivers, On or near Wesley Close
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203QN, Y51Q35, Two Rivers, On or near Hunter Avenue
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203NU, Y51Q35, Two Rivers, On or near Farrow Close
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203HU, Y51Q35, Two Rivers, On or near Bishop Herbert Close
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203AJ, Y51Q35, Two Rivers, On or near Manor Close
Criminal damage and arson: England, Eastern, Norfolk, Breckland District, Mid Norfolk, Broadland, Broadland District, NR9 5AX, Y51Q35, Two Rivers, On or near Berry'S Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR203AJ, Y51Q35, Two Rivers, On or near Manor Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 4QR, Y51Q35, Upper Yare, On or near Town Lane
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RE, Y51Q35, Upper Yare, On or near Stranton Avenue
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RW, Y51Q35, Upper Yare, On or near Gagman'S Lane
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, South Norfolk District, NR9 4EL, Y51Q35, Upper Yare, On or near Low Street
Vehicle crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, South Norfolk District, NR9 4EF, Y51Q35, Upper Yare, On or near Danemoor Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RU, Y51Q35, Upper Yare, On or near Drusilla Way
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RW, Y51Q35, Upper Yare, On or near Gagman'S Lane
Other crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191RJ, Y51Q35, Upper Yare, On or near St Peter'S Close
Other crime: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR9 4QR, Y51Q35, Upper Yare, On or near Town Lane
Anti-social behaviour: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191QH, Y51Q35, Upper Yare, On or near Stegg'S Lane
Burglary: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191QG, Y51Q35, Upper Yare, On or near Dereham Road
Drugs: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191QH, Y51Q35, Upper Yare, On or near Stegg'S Lane
Violence and sexual offences: England, Eastern, Norfolk, Breckland District, Mid Norfolk, NR191QR, Y51Q35, Upper Yare, On or near Shop Street
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BU, Y51Q35, Swaffham, On or near Queen Street
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PT, Y51Q35, Swaffham, On or near Low Road
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Burglary: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Lynn Street
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377AJ, Y51Q35, Swaffham, On or near Mount Close
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BX, Y51Q35, Swaffham, On or near Whitesands Mews
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PS, Y51Q35, Swaffham, On or near Lawrence Way
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Supermarket
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NQ, Y51Q35, Swaffham, On or near Petrol Station
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Supermarket
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near A1065
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Supermarket
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near A1065
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Supermarket
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377BT, Y51Q35, Swaffham, On or near Orchard Place
Other crime: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LA, Y51Q35, Swaffham, On or near Supermarket
Other crime: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377PX, Y51Q35, Swaffham, On or near Lynn Road
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DQ, Y51Q35, Swaffham, On or near The Pightle
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DQ, Y51Q35, Swaffham, On or near The Pightle
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DQ, Y51Q35, Swaffham, On or near The Pightle
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE378HF, Y51Q35, Swaffham, On or near Watton Road
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377SD, Y51Q35, Swaffham, On or near Hickling Close
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NP, Y51Q35, Swaffham, On or near Theatre Street
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377SL, Y51Q35, Swaffham, On or near Parking Area
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377SL, Y51Q35, Swaffham, On or near Brandon Road
Criminal damage and arson: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377SL, Y51Q35, Swaffham, On or near Brandon Road
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DY, Y51Q35, Swaffham, On or near St Magdalen Way
Public order: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377XB, Y51Q35, Swaffham, On or near Carter Close
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377DY, Y51Q35, Swaffham, On or near St Magdalen Way
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377JS, Y51Q35, Swaffham, On or near Manor Way
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377HT, Y51Q35, Swaffham, On or near Conference/Exhibition Centre
Anti-social behaviour: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LX, Y51Q35, Swaffham, On or near Station Street
Burglary: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377JS, Y51Q35, Swaffham, On or near Manor Way
Other theft: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377JS, Y51Q35, Swaffham, On or near Manor Way
Public order: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377JQ, Y51Q35, Swaffham, On or near Orford Road
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LF, Y51Q35, Swaffham, On or near Parking Area
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LF, Y51Q35, Swaffham, On or near Parking Area
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377HJ, Y51Q35, Swaffham, On or near Petrol Station
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377LF, Y51Q35, Swaffham, On or near Parking Area
Shoplifting: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377HJ, Y51Q35, Swaffham, On or near Petrol Station
Vehicle crime: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377JS, Y51Q35, Swaffham, On or near Manor Way
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377JS, Y51Q35, Swaffham, On or near Manor Way
Violence and sexual offences: England, Eastern, South West Norfolk, Norfolk, Breckland District, PE377NA, Y51Q35, Swaffham, On or near Spinners Lane
